id,codigo,nombre,descripcion,idProveedor,precio,stock,fechaRegistro
38,PROD-038,Impresora Epson EcoTank L3250,Inyección de tinta color WiFi sistema de tanque 5000 pág color,5,290.00,12,2025-02-15
39,PROD-039,Impresora Canon PIXMA G3160,Multifuncional color WiFi impresión copia escaneo tanque de tinta,5,265.00,10,2025-02-16
40,PROD-040,Impresora HP DeskJet 2775,Multifuncional color WiFi Bluetooth HP+ compatible móvil,5,115.00,20,2025-02-16
41,PROD-041,Router TP-Link AX3000,WiFi 6 dual band 2.4GHz y 5GHz 4 puertos Gigabit MU-MIMO,3,135.00,22,2025-03-01
42,PROD-042,Router ASUS RT-AX55,WiFi 6 AX1800 dual band 4 antenas MU-MIMO OFDMA control parental,3,120.00,15,2025-03-01
43,PROD-043,Router Mikrotik hAP ac2,Doble banda 2.4 y 5GHz 5 puertos Gigabit RouterOS L4,3,95.00,10,2025-03-02
44,PROD-044,Switch TP-Link 8 puertos,Switch no administrable 8 puertos Fast Ethernet 100Mbps,3,25.00,30,2025-03-02
45,PROD-045,Switch Gigabit TP-Link 16 puertos,Switch no administrable 16 puertos Gigabit plug and play,3,65.00,18,2025-03-03
46,PROD-046,Tarjeta Gráfica GTX 1650 4GB,GPU NVIDIA 4GB GDDR6 HDMI DisplayPort DVI bajo consumo,4,280.00,8,2025-03-05
47,PROD-047,Tarjeta Gráfica RX 6600 8GB,GPU AMD Radeon 8GB GDDR6 PCIe 4.0 soporte Ray Tracing,4,350.00,6,2025-03-05
48,PROD-048,Procesador Intel Core i5-12400,6 núcleos 12 hilos 4.4GHz turbo socket LGA1700 sin cooler,4,210.00,12,2025-03-06
49,PROD-049,Procesador AMD Ryzen 5 5600,6 núcleos 12 hilos 4.4GHz turbo socket AM4 con cooler Wraith Stealth,4,175.00,15,2025-03-06
50,PROD-050,Placa Base ASUS Prime B550M,Micro-ATX socket AM4 DDR4 HDMI DP USB 3.2 M.2 PCIe 4.0,4,130.00,10,2025-03-07
51,PROD-051,Placa Base MSI PRO B660M,Micro-ATX socket LGA1700 DDR4 HDMI PCIe 4.0 USB 3.2,4,145.00,8,2025-03-07
52,PROD-052,Fuente de Poder Corsair 650W,80 Plus Bronze semi-modular 650W ATX estable y silenciosa,4,90.00,14,2025-03-08
53,PROD-053,Fuente de Poder EVGA 550W,80 Plus Gold totalmente modular 550W cableado mallado,4,85.00,12,2025-03-08
54,PROD-054,Gabinete Cooler Master Q300L,Micro-ATX panel lateral acrílico filtros magnéticos polvo,4,55.00,16,2025-03-09
55,PROD-055,Gabinete NZXT H510,Mid-tower ATX panel vidrio templado cable management integrado,4,110.00,9,2025-03-09
56,PROD-056,Cooler CPU Cooler Master Hyper 212,Disipador torre 120mm compatible Intel AMD 150W TDP silencioso,4,35.00,22,2025-03-10
57,PROD-057,Pad Mouse XL Logitech G840,Pad de escritorio 900x300mm superficie óptima baja fricción,2,45.00,28,2025-03-11
58,PROD-058,Hub USB-C 7 en 1 Anker,Hub multipuerto HDMI 4K USB-A 3.0 SD microSD PD 100W,3,55.00,25,2025-03-12
59,PROD-059,Webcam con Ring Light Aukey,Cámara 1080p luz anular integrada 3 modos color USB-A plug and play,2,48.00,20,2025-03-13
60,PROD-060,UPS APC 750VA,Sistema de alimentación ininterrumpida 750VA 425W 6 tomas protección picos,5,185.00,11,2025-03-14
